date,cum_infections,cum_deaths
2020-01-05,0,0
2020-01-12,0,0
2020-01-19,0,0
2020-01-26,0,0
2020-02-02,0,0
2020-02-09,0,0
2020-02-16,0,0
2020-02-23,0,0
2020-03-01,0,0
2020-03-08,1,0
2020-03-15,11,0
2020-03-22,46,0
2020-03-29,64,0
2020-04-05,78,1
2020-04-12,81,1
2020-04-19,82,1
2020-04-26,83,1
2020-05-03,83,1
2020-05-10,83,1
2020-05-17,83,1
2020-05-24,83,1
2020-05-31,83,1
2020-06-07,83,1
2020-06-14,83,1
2020-06-21,83,1
2020-06-28,83,1
2020-07-05,84,1
2020-07-12,85,1
2020-07-19,87,1
2020-07-26,87,1
2020-08-02,89,1
2020-08-09,89,1
2020-08-16,94,1
2020-08-23,101,1
2020-08-30,108,1
2020-09-06,108,1
2020-09-13,111,1
2020-09-20,114,1
2020-09-27,119,1
2020-10-04,128,1
2020-10-11,150,1
2020-10-18,227,1
2020-10-25,413,1
2020-11-01,603,3
2020-11-08,820,3
2020-11-15,1013,6
2020-11-22,1154,10
2020-11-29,1303,17
2020-12-06,1433,19
2020-12-13,1577,21
2020-12-20,1831,26
2020-12-27,2088,39
2021-01-03,2284,44
2021-01-10,2405,50
2021-01-17,2454,50
2021-01-24,2513,53
2021-01-31,2567,53
2021-02-07,2597,53
2021-02-14,2615,55
2021-02-21,2622,55
2021-02-28,2650,55
2021-03-07,2670,56
2021-03-14,2690,56
2021-03-21,2711,56
2021-03-28,2739,56
2021-04-04,2776,56
